ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
2025.0,36.0,doogee,6.59,lcd,3.4,12.0,1.79,422.0,1080.0,2400.0,10800.0,13.409090909090908,499.99,299.99
2021.0,64.0,blackview,6.1,amoled,2.3,4.0,1.5,273.0,1080.0,2400.0,6580.0,30.000000000000004,199.99,159.99
2020.0,256.0,realme,6.72,lcd,2.6,8.0,2.57,254.42,1080.0,2400.0,5000.0,5.909090909090908,175.0,159.0
2025.0,64.0,oukitel,6.52,lcd,14.4,8.0,2.57,254.42,1080.0,2400.0,10600.0,1.1428571428571428,329.99,139.99
2022.0,256.0,xiaomi,6.0,amoled,2.4,8.0,1.02,170.1,1080.0,2520.0,5000.0,20.0,199.99,309.99
2018.0,256.0,apple,6.1,xdr,2.5,8.0,2.57,254.42,1080.0,2400.0,2815.0,91.76470588235294,499.99,378.0
2025.0,512.0,xiaomi,6.67,amoled,2.5,12.0,2.57,254.42,1500.0,737.0,5110.0,1.5217391304347827,366.99,356.7
2023.0,128.0,jtqtj,5.0,lcd,2.1,1.0,2.57,254.42,720.0,1280.0,3000.0,17.575757575757578,199.99,56.99
2025.0,256.0,oukitel,6.56,lcd,2.8,24.0,2.57,254.42,720.0,1600.0,5150.0,12.040816326530612,169.99,169.99
2023.0,128.0,mcmgc,5.0,lcd,1.2,1.0,2.57,254.42,1080.0,2400.0,3000.0,85.0,399.0,56.99
2023.0,256.0,xiaomi,6.46,lcd,35.0,8.0,2.57,254.42,720.0,1440.0,5160.0,17.36842105263158,499.99,86.68
2025.0,256.0,xiaomi,6.67,amoled,2.8,8.0,2.57,254.42,1080.0,2400.0,5500.0,5.217391304347826,177.5,177.5
2023.0,256.0,oukitel,6.52,lcd,1.5,8.0,2.57,254.42,1080.0,2400.0,5000.0,108.8372093023256,239.99,139.99
2023.0,128.0,doogee,6.0,lcd,2.4,6.0,1.0,266.0,1080.0,2400.0,5180.0,83.07692307692308,199.99,159.99
2025.0,256.0,doogee,6.72,oled,3.4,32.0,1.05,242.0,1920.0,1080.0,5500.0,2.5,419.99,299.99
2023.0,128.0,motorola,6.5,lcd,16.4,4.0,0.8,177.2,1080.0,2400.0,5000.0,62.19512195121952,129.9,129.9
2024.0,512.0,xiaomi,6.67,amoled,3.0,12.0,0.03,540.0,1560.0,1440.0,5000.0,465.7142857142857,449.9,449.9
2024.0,1000.0,tcl,6.53,amoled,3.1,6.0,2.57,254.42,1080.0,2400.0,4500.0,355.45454545454544,499.99,270.96
2024.0,512.0,ttfone,2.0,lcd,1.2,4.0,1.2,99.0,1080.0,2400.0,1400.0,138.70967741935485,46.99,46.99
2024.0,512.0,oppo,6.7,amoled,2.0,12.0,0.74,180.0,1080.0,2412.0,3600.0,22.32558139534884,499.99,521.85
2024.0,512.0,xiaomi,6.67,amoled,3.0,12.0,2.57,254.42,1500.0,2560.0,5000.0,51.463414634146346,496.65,337.99
2024.0,512.0,doogee,6.78,lcd,2.5,32.0,1.58,383.0,2460.0,1080.0,8680.0,5.333333333333333,569.99,399.99
2024.0,512.0,cubot,6.58,lcd,2.6,32.0,2.57,254.42,2408.0,1080.0,10200.0,18.666666666666668,199.99,389.99
2024.0,512.0,xiaomi,6.67,oled,2.8,12.0,0.89,205.0,2400.0,1080.0,5000.0,63.33333333333333,364.0,347.0
2024.0,512.0,samsung,6.7,amoled,3.1,12.0,2.57,254.42,1080.0,2400.0,4000.0,1.2,1089.0,1089.0
2024.0,512.0,xiaomi,6.67,amoled,2.2,12.0,6.0,500.0,2340.0,1080.0,5000.0,9.11111111111111,216.93,191.0
2024.0,512.0,nubia,6.8,amoled,3.0,16.0,0.88,246.0,1080.0,2400.0,6000.0,26.153846153846157,839.0,839.0
2024.0,512.0,realme,6.67,lcd,2.6,12.0,2.57,254.42,1080.0,2400.0,5000.0,0.6,199.99,270.33
2024.0,512.0,samsung,6.7,lcd,2.7,8.0,2.57,254.42,1080.0,2400.0,3700.0,21.0,199.99,1329.0
2024.0,512.0,8849,6.79,lcd,3.1,32.0,3.1,696.0,1080.0,2246.0,23800.0,25.27777777777778,199.99,749.99
2024.0,512.0,honor,6.78,oled,2.6,12.0,2.57,254.42,2700.0,1224.0,5000.0,19.33333333333333,199.99,529.0
2024.0,512.0,xiaomi,6.67,amoled,2.5,12.0,2.57,254.42,1080.0,2400.0,6000.0,58.83720930232558,429.9,399.99
2024.0,512.0,xiaomi,6.67,amoled,3.4,12.0,2.57,254.42,1500.0,750.0,5000.0,2.619047619047619,349.9,299.9
2024.0,512.0,doogee,6.78,lcd,2.5,12.0,1.58,383.0,1080.0,2400.0,8680.0,7.083333333333334,569.99,399.99
2024.0,512.0,8849pro,6.79,lcd,3.0,18.0,2.57,254.42,1920.0,1080.0,23800.0,1.0416666666666667,199.99,859.99
2024.0,512.0,honor,6.7,oled,3.0,12.0,2.57,254.42,1080.0,2400.0,5200.0,1.2,199.99,375.0
2024.0,512.0,xiaomi,6.67,amoled,0.0,12.0,2.57,254.42,1920.0,1080.0,5000.0,106.9047619047619,199.99,199.9
2024.0,512.0,asus,6.78,amoled,3.2,16.0,0.91,225.0,2400.0,1080.0,5500.0,28.5,1229.99,976.6
2024.0,512.0,xiaomi,6.67,amoled,2.9,12.0,6.0,520.0,1080.0,2400.0,5000.0,17.857142857142858,313.61,191.0
2024.0,512.0,xiaomi,6.67,amoled,2.8,12.0,2.57,254.42,1080.0,2400.0,5000.0,465.7142857142857,499.0,478.67
2024.0,512.0,xiaomi,6.67,amoled,3.2,12.0,2.57,254.42,1440.0,3200.0,5000.0,2.619047619047619,523.33,398.0
2024.0,512.0,poco,6.67,amoled,6.0,12.0,2.57,254.42,1080.0,2400.0,5000.0,328.69565217391306,341.0,279.99
2024.0,512.0,oneplus,6.74,oled,2.6,16.0,0.8,199.5,1080.0,2400.0,5500.0,53.86363636363636,599.0,499.0
2024.0,512.0,xiaomi,6.67,amoled,2.2,12.0,2.57,254.42,1220.0,2712.0,5100.0,18.09523809523809,199.99,699.0
2024.0,512.0,8849,6.79,lcd,2.6,12.0,2.57,254.42,1080.0,2400.0,23800.0,1.5909090909090908,559.99,559.99
2024.0,512.0,xiaomi,6.67,amoled,3.4,12.0,2.57,254.42,1220.0,2712.0,5000.0,2.619047619047619,321.0,302.0
2024.0,512.0,doogee,6.6,amoled,3.2,32.0,2.57,254.42,1920.0,1080.0,5000.0,2.619047619047619,329.99,279.99
