ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly
2024.0,256.0,tcl,6.8,lcd,3.0,16.0,0.9,192.0,1920.0,1080.0,5010.0,10.5,219.99,199.99,-0.12411114365759825,1
2024.0,256.0,honor,6.7,amoled,3.0,8.0,2.57,254.42,2412.0,1080.0,4500.0,1.875,499.99,209.0,-0.0844710855875669,1
2022.0,256.0,unihertz,3.0,lcd,1.5,4.0,1.65,110.0,1080.0,2400.0,2000.0,52.0,149.99,209.99,-0.08011551871860668,1
2024.0,256.0,xiaomi,6.67,amoled,0.0,8.0,0.8,188.0,1920.0,1080.0,5000.0,1033.658536585366,249.0,159.95,-0.3002696259133205,1
2024.0,256.0,samsung,6.5,lcd,3.0,3.0,0.89,205.0,1080.0,2400.0,5000.0,16.666666666666664,499.99,199.99,-0.12411114365759825,1
2024.0,128.0,msmga,5.0,lcd,1.2,1.0,2.57,254.42,720.0,1280.0,3000.0,65.66666666666667,199.99,55.99,-0.7576481427790767,1
2024.0,128.0,samsung,6.56,amoled,15.5,4.0,2.57,254.42,1440.0,720.0,5000.0,17.5609756097561,199.99,127.9,-0.44127560384278836,1
2024.0,128.0,realme,6.74,lcd,1.8,4.0,0.78,187.0,1600.0,720.0,5000.0,8.974358974358974,104.99,97.0,-0.5772220849042723,1
2024.0,256.0,vivo,6.68,lcd,3.0,8.0,0.8,380.0,1080.0,2400.0,6000.0,23.72093023255814,199.99,169.0,-0.26045358534353313,1
2024.0,128.0,msmga,5.0,lcd,1.2,1.0,2.57,254.42,720.0,1280.0,3000.0,20.571428571428573,59.99,56.99,-0.7532485802851775,1
2024.0,64.0,xiaomi,6.0,lcd,32.3,4.0,0.8,500.0,1080.0,2400.0,5000.0,58.83720930232558,109.1,89.9,-0.6084589786109563,1
