_id,Potencia nominal de la bateria,precio_actual,precio_anterior,Capacidad de almacenamiento digital,Marca,Sistema operativo,Tamano de la pantalla,Tipo de pantalla,Ano del modelo,Memoria RAM,Altura (cm),Anchura (cm),Profundidad (cm),Peso (g)
B0CQ32CLZQ,5000.0,265.0,399.0,,,,,amoled,,8.0,16.11,7.42,0.8,187.0
B0BZS77DBX,1.0,209.79,,,,,,amoled,,8.0,,,,
B0CNQ6Z5VC,5000.0,799.0,969.0,,,,,,,,,,,
B0CX1J157Y,,127.61,152.65,128.0,xiaomi,sistema operativo android (versione non specificata),0.39,lcd,2022.0,6.0,18.0,9.0,5.0,400.0
B0CPPFD4RL,5200.0,217.55,399.9,256.0,honor,android 13.0,,amoled,2024.0,16.0,16.36,7.55,0.8,185.0
B0CY4ZH6VD,5150.0,89.99,129.99,128.0,doogee,android 14,6.56,lcd,2024.0,9.0,16.38,7.58,0.86,186.0
B0CSFVHB5V,,264.9,282.0,,,,,,,,,,,
B0DPHN1435,5000.0,239.78,247.59,256.0,xiaomi,xiaomi hyperos,6.67,oled,2024.0,8.0,162.2,74.0,8.2,600.0
B0DL8VX17R,5000.0,131.99,239.99,,xiaomi,android 14,6.88,amoled,2024.0,8.0,,,,
B0DKNVBD41,5000.0,299.0,329.0,,,,,,,,16.32,7.59,0.78,188.0
B0CVQL3L2K,5000.0,374.58,1299.0,,,,,,,,16.11,7.74,0.82,320.0
B0CHBJD9QZ,3000.0,55.99,399.0,,msmga,android 9.0,5.0,lcd,,1.0,,,,
B0D5CQT349,5000.0,149.99,379.99,,umidigi,android 13.0,6.75,lcd,2024.0,6.0,16.7,7.7,0.79,390.0
B0D5YN21S1,5150.0,149.99,569.99,256.0,doogee,android,6.56,oled,2024.0,16.0,17.27,8.0,1.07,240.0
B0CYGJJHFW,3000.0,57.99,59.99,,wrtogo,android 9.0,5.0,lcd,,1.0,,,,
B0DKWVTH6R,5800.0,1299.99,1299.99,,,,,,,,16.38,7.68,0.89,228.0
B0C53R3TZX,5000.0,280.0,399.0,,,,,,,8.0,16.56,7.61,0.82,192.0
B0DG64KMM6,5160.0,134.99,169.9,,,,,,,,,,,
B0D2HBMW85,5150.0,99.99,126.99,128.0,oukitel,android 14,6.8,lcd,2024.0,18.0,16.8,7.8,0.94,209.0
B0CQKDBVT8,5000.0,299.99,499.99,,xiaomi,android 13.0,6.67,amoled,2024.0,12.0,,,,
B0DKP8CT9W,5500.0,239.9,239.9,,,,,,,,,,,
B0DH3N1GZ3,,99.9,,,honor,android 14,6.56,,,4.0,,,,
B0DM81D5J5,5160.0,138.0,156.0,128.0,xiaomi,android 14,6.88,lcd,2024.0,8.0,,,,
B0D6GQTRTS,5150.0,169.99,239.99,256.0,doogee,android 14,6.56,lcd,2024.0,2.0,17.27,8.0,1.1,450.0
B0DN1GZ1D1,5828.0,169.0,199.99,,,,,,,,,,,
B07VTMHTDF,,38.4,42.0,,zte,android 11,5.0,,,,11.54,6.0,1.0,250.0
