ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly,cluster,mahalanobis
2024.0,128.0,xiaomi,6.67,lcd,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,0.9523809523809524,152.06,152.06,-0.3349821739901848,1,6,1.2237906074354425
2024.0,128.0,xiaomi,6.55,lcd,3.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,221.53,168.0,-0.26485314783743225,1,6,1.1436184458396146
2024.0,128.0,motorola,6.56,lcd,1.4,4.0,0.8,181.0,1280.0,720.0,5000.0,31.395348837209305,129.0,89.0,-0.6124185848554655,1,-1,2.2013224568962686
2024.0,256.0,blackview,6.7,lcd,3.2,8.0,2.57,254.42,1080.0,2400.0,5000.0,4.571428571428571,329.99,279.99,0.2278538558543342,1,0,0.9789740128713657
2024.0,256.0,xiaomi,6.67,lcd,2.9,12.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,205.0,199.61,-0.1257829774052799,1,0,1.0564908829194006
2024.0,256.0,oneplus,6.74,amoled,2.0,12.0,0.8,199.5,1080.0,2400.0,5500.0,53.86363636363636,499.0,449.0,0.9714239129482304,1,-1,1.6081196066980243
2024.0,256.0,xiaomi,6.74,lcd,2.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,0.9523809523809524,140.0,134.66,-0.4115345613840301,1,0,1.2313257798524047
2024.0,256.0,xiaomi,6.67,amoled,2.5,12.0,2.57,254.42,1080.0,2400.0,5000.0,10.75,462.0,408.0,0.7910418506983651,1,0,1.2715443979843781
2024.0,256.0,realme,6.72,amoled,2.2,8.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,229.0,229.0,0.0035201642904162164,1,0,1.0167563898970384
2024.0,256.0,xiaomi,6.67,amoled,3.1,8.0,2.57,254.42,1500.0,750.0,5110.0,58.83720930232558,299.9,249.9,0.09547102041290859,1,-1,1.7588172787090293
2024.0,256.0,poco,6.67,amoled,3.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,105.33333333333331,199.99,296.76,0.301634518877023,1,0,1.1786092006240674
2024.0,256.0,samsung,6.67,amoled,2.5,8.0,2.57,254.42,1080.0,2400.0,5000.0,121.42857142857142,472.31,368.0,0.6150593509423988,1,0,1.2363029842672253
2024.0,128.0,el,6.52,lcd,1.6,4.0,0.92,180.0,1080.0,2400.0,4500.0,9.487179487179487,98.99,98.99,-0.568466955541413,1,2,1.6117775869940594
2024.0,256.0,oukitel,6.52,lcd,1.6,24.0,2.57,254.42,1520.0,720.0,5000.0,0.9523809523809524,199.99,149.99,-0.34408926835255604,1,-1,2.4210159470860653
2024.0,256.0,vivo,6.67,amoled,3.4,8.0,0.79,190.0,1080.0,2400.0,5000.0,29.285714285714285,199.99,299.0,0.3114895388633571,1,3,1.441541205703952
2024.0,256.0,oneplus,6.74,oled,3.0,16.0,0.8,199.5,1080.0,2400.0,5500.0,53.86363636363636,199.99,384.58,0.6880040970912468,1,-1,1.818081548006358
2024.0,256.0,honor,6.67,amoled,2.4,16.0,0.8,185.0,1080.0,2400.0,5200.0,25.77777777777778,399.9,217.55,-0.04685482626472907,1,-1,1.740347530737668
2024.0,256.0,motorola,6.67,oled,3.0,8.0,0.76,170.0,1080.0,2400.0,5000.0,21.11111111111111,234.8,234.8,0.029037626755031368,1,3,1.413682751335036
2024.0,128.0,oppo,6.56,lcd,2.1,6.0,0.77,250.0,1080.0,2400.0,5100.0,5.476190476190476,135.0,135.0,-0.4100387101361044,1,6,1.349439587102661
2024.0,256.0,oppo,6.67,lcd,2.4,8.0,0.77,200.0,1080.0,2400.0,5100.0,99.77272727272728,198.0,198.0,-0.13286627302045761,1,3,1.2543672663015935
2024.0,128.0,xiaomi,6.67,amoled,3.1,8.0,2.57,254.42,1080.0,2400.0,5500.0,44.77272727272727,239.9,239.9,0.05147539547391704,1,6,1.1994534030452546
2024.0,128.0,cmf by nothing,6.67,superamoled,2.5,8.0,0.82,197.0,1080.0,2400.0,5000.0,213.77777777777777,239.0,216.48,-0.05156235813320126,1,2,1.3241102922436263
2024.0,128.0,oscal,6.52,lcd,1.6,4.0,0.93,192.0,1280.0,720.0,4700.0,47.27272727272727,239.99,89.99,-0.6080630179865055,1,-1,2.111973428716134
2024.0,64.0,ulefone,6.1,lcd,2.0,3.0,0.85,153.0,1080.0,2400.0,3300.0,26.756756756756754,199.99,99.99,-0.564067393047514,1,-1,1.8516395731216142
2024.0,128.0,vivo,6.56,lcd,2.0,4.0,0.81,186.0,1080.0,2400.0,5000.0,50.888888888888886,149.0,149.0,-0.3484448352215162,1,2,1.5387717805262555
2024.0,256.0,samsung,6.67,superamoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,13.428571428571429,499.0,379.0,0.6634545383752896,1,0,1.3448884548757245
2024.0,128.0,samsung,6.7,amoled,3.0,4.0,0.79,200.0,1080.0,1920.0,4200.0,23.33333333333333,178.49,168.99,-0.2604975809684721,1,-1,1.2258099025713403
2024.0,256.0,honor,6.78,amoled,3.1,1.0,2.57,254.42,1080.0,2400.0,5000.0,6.944444444444445,499.99,217.0,-0.04927458563637365,1,-1,1.9578461301308743
2024.0,256.0,xiaomi,6.88,lcd,2.8,8.0,2.57,254.42,1080.0,2340.0,5160.0,60.238095238095234,169.9,169.9,-0.2564939790990238,1,0,1.0771022094833216
2024.0,256.0,oneplus,6.67,amoled,3.1,8.0,0.81,191.0,1080.0,2400.0,5110.0,27.906976744186046,329.0,239.0,0.04751578922940777,1,3,1.2830724386900072
2024.0,128.0,samsung,6.4,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,2.619047619047619,302.98,268.0,0.1751031015524833,1,6,1.1962794251568336
2024.0,256.0,oppo,6.56,lcd,2.2,8.0,0.77,200.0,1080.0,2400.0,5100.0,1.9047619047619049,150.0,150.0,-0.3440452727276171,1,3,1.3794361283569
2024.0,256.0,xiaomi,6.67,amoled,2.2,8.0,2.57,254.42,1080.0,2400.0,5500.0,44.77272727272727,349.0,349.0,0.5314676635583149,1,0,1.040698485633531
2024.0,256.0,blackview,6.75,amoled,2.0,8.0,0.91,214.0,1280.0,720.0,6000.0,6.046511627906977,199.99,179.99,-0.21210239353558136,1,-1,2.121185018116718
2024.0,128.0,joyzap,3.0,lcd,1.3,2.0,1.26,137.0,360.0,640.0,900.0,2.8125,199.99,49.99,-0.7840455177424716,1,-1,3.5046863909301083
2024.0,256.0,xiaomi,6.67,amoled,3.2,8.0,2.57,254.42,1080.0,2400.0,5100.0,136.8181818181818,499.99,279.95,0.22767787335457815,1,0,1.4672474182985222
